Occupation,Views
Actor,2462734.0
Actor and Marine Corps veteran,3016666.0
Actor and activist,2291952.3333333335
Actor and writer,593099.0
"Actor, activist",1422701.0
"Actor, comedian, playwright",3566043.0
"Actor, playwright, social critic",978825.0
"Actor, producer, activist",4642478.0
"Actor, writer",792297.0
Amateur musicians,741146.0
Anatomical artist,1257468.0
Artist,1036726.5588235294
Artist and activist,688861.0
Artist and curator,1486880.0
Artist and engineer,414028.0
Artist and filmmaker,721731.0
Artist and historian,1024326.0
Artist and organizer,1612925.0
Artist and photographer,1961502.0
Artist and technologist,872169.0
"Artist, composer, engineer",1222519.0
"Artist, designer",306296.0
"Artist, designer, urban planner",4922118.0
"Artist, graphic designer, filmmaker",1370547.0
"Artist, musician, lawyer, activist",636463.0
"Artist, photographer",1424250.0
"Artist, potter, community builder",1024661.0
"Artist, scientist and entrepreneur",399314.0
"Artist, storyteller, Internet anthropologist",952389.5
"Artist, urban farmer",1986542.0
Artistic director,571009.0
"Astronomer, astrobiologist, actor, writer",1526242.0
Athlete and actor,2179948.3333333335
Author and playwright,876021.0
Bluegrass musicians,3498504.5
Comedian,3101122.0
Comedian + Designer,1492005.0
Comedian and Mental Health Activist,2352202.0
Comedian and writer,13093902.5
"Comedian, activist",2295846.0
"Comedian, filmmaker",1225718.0
"Comedian, journalist, activist",2494615.0
"Comedian, voice artist",1055904.0
"Composer, singer, author, actor, activist",1934877.0
Conceptual artist,987388.0
"Conservationists, filmmakers",858303.0
"Craft artist, product designer",294961.0
"Dancer, actor, activist",481834.0
Data artist,847454.0
"Designer, artist",760537.0
Documentary filmmaker,698636.0
Documentary filmmakers,1609136.0
Engineer and artist,1246392.0
Experimental audio-visual artist,688727.5
Explorer and filmmaker,1108528.0
Filmmaker,1529156.619047619
Filmmaker and Remixer,1356163.0
"Filmmaker, writer",522917.0
Folk musician,512588.0
Graffiti artist + activist,966645.0
"Graphic artist, director",948840.0
High-wire artist,640744.0
Hip-hop artist,776516.0
"Humorist, web artist",4025237.3333333335
"Illusionist, endurance artist",15601385.0
Iranian visual artist,650274.0
"Lawyer, artist, human rights advocate",1162751.0
Movement artist,182975.0
Multimedia artist,1492407.5
Musician,1399568.5454545454
Musician and activist,656851.0
Musician and graphic designer,2296874.0
Musician and inventor,329964.0
"Musician, Conductor",1281099.0
"Musician, activist",844020.2
"Musician, artist, writer",1231159.0
"Musician, blogger",4872595.0
"Musician, entrepreneur",734095.0
"Musician, poet",626886.0
"Neuroscientist, Artist",3139280.0
New media artist,829988.0
Open-source engineer and artist,1126129.0
Papercutter artist,933319.0
Performance artist,1288426.6666666667
"Performance poet, multimedia artist",1664776.6666666667
"Playwright, activist",1194995.25
Poet and actor,1120276.0
Poet and playwright,720465.0
"Poet, playwright",599444.0
Polymorphic playwright,1548378.6666666667
Privacy artist,822884.0
"Singer, musician, composer",1538107.0
"Singer, performance artist",395769.0
Sonochromatic Cyborg Artist,2468887.0
"Sound artist, composer",1242903.0
"Space researcher, biologist, artist",1096201.0
Street artist,1877347.5
"Student, musician",691593.0
Textile artist,1260939.0
Vagabond photojournalist + conceptual artist,1283598.5
Visual artist,2682427.0
"Vocalist, beatboxer, comedian",9315931.0
Writer and filmmaker,6385279.0
"Writer, coach, artist ...",4456309.0
"Writer, radio host, comedian",1257858.0
photographer + visual artist,1464877.0
